MATNR;MAKTX
RN040046;NW SMS CW 150/12g PHO STAND WHI
RN040055;NW SMS CW 150/12g PHI STAND WHI NETKANIK
RN040034;NW SMS CW 150/12g PHI STAND WHI
RSN04063;NW SMS CW 150/10G SOFT WHI
RN040028;NW SMS CW 150/10G PHI STAND WHI
RSN04062;NW SMS CW 140/10G SOFT WHI
RN040030;NW SMS CW 140/10G PHI STAND WHI
RN030034;NW SMS CUFF 214/22G PHO SOFT WHI
RN030037;NW SMS CUFF 214/14g PHO STAND WHI
RN030027;NW SMS CUFF 214/14G PHO WHI
RN030026;NW SMS CUFF 214/14G PHO SOFT WHI
RN030078;NW SMS CUFF 214/12g PHO WHI
RSN03128;NW SMS CUFF 214/12G PHO WHI
RN010120;NW SMS CUFF 175/22G PHO STAND WHI
RSN03041;NW SMS CUFF 175/15g PHO SOFT20014-10-104
RN030038;NW SMS CUFF 175/14g PHO STAND WHI
RN030031;NW SMS CUFF 175/14g PHO STAND BLU
RN030028;NW SMS CUFF 175/14g PHO SOFT WHI
